#persons:P,L,H,E,A
#accounts:B,K,S,R,Y,T
Month::none;Line::index;Datum::date;Person::select_person;Konto::select_account;Text::text;Ausgang_A;ausw. Verpflegung_A;Freizeit Ferien_A;Lebensmittel_A;Haushaltsartikel_A;Kleider, Schuhe_A;Körperpflege_A;Coiffeur_A;Arzt, Zahnarzt, Optiker_A;Möbel_A;Computer_A;Mobilität_A;Auto_A;Geschenke_A;Verschiedenes_A;Telefon, Internet_A2;Kita, ElKi, Spielgruppe_A2;Steuern, Gebühren AHV_A2;Krankenkasse & Versicherungen_A2;Hypothekarzins & Darlehen_A2;Nebenkosten_A2;zusätzliche Wohnungskosten_A2;Krypto_A2;Debitoren_A2;Lohn_E;Krankenkasse_E;Andere_E;Debitoren_E
Jan;0;1.;;;Saldo;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jan;1;2.;P;B;Lohn;;;;;;;;;;;;;;;;;;;;;;;;4200;;;
Jan;2;3.;P;T;Lebensmittel Migros;;;92;;;;;;;;;;;;;;;;;;;;;;;;
Jan;3;5.;L;K;Mittagessen;;24;;;;;;;;;;;;;;;;;;;;;;;;;
Jan;4;8.;H;B;ÖV Abo / SBB;;;;;;;;;;;;79;;;;;;;;;;;;;;
Jan;5;10.;P;K;Coiffeur;;;;;;;;48;;;;;;;;;;;;;;;;;;;
Jan;6;14.;A;Y;Geburtstagsgeschenk;;;;;;;;;;;;;;35;;;;;;;;;;;;;
Jan;7;16.;E;R;Reserve / Spar;;;;;;;;;;;;;;;50;;;;;;;;;;;;
Jan;8;18.;P;B;Nebenkosten;;;;;;;;;;;;;;;;;;;;;260;;;;;
Jan;9;21.;L;T;Freizeit;;;40;;;;;;;;;;;;;;;;;;;;;;;;
Jan;10;24.;P;S;Krankenkasse;;;;;;;;;;;;;;;;;;;390;;;;;;;
Jan;11;28.;P;B;Kontrolle Lohnformel;;;;;;;;;;;;;;;;;;;;;;;;;;=AE2;
Feb;0;1.;;;Saldo;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feb;1;2.;P;B;Lohn;;;;;;;;;;;;;;;;;;;;;;;;4215;;;
Feb;2;3.;P;T;Lebensmittel Migros;;;94;;;;;;;;;;;;;;;;;;;;;;;;
Feb;3;5.;L;K;Mittagessen;;25;;;;;;;;;;;;;;;;;;;;;;;;;
Feb;4;8.;H;B;SBB;;;;;;;;;;;;12;;;;;;;;;;;;;;
Feb;5;10.;P;K;Coiffeur;;;;;;;;48;;;;;;;;;;;;;;;;;;;
Feb;6;14.;A;Y;Geburtstagsgeschenk;;;;;;;;;;;;;;36;;;;;;;;;;;;;
Feb;7;16.;E;R;Reserve / Spar;;;;;;;;;;;;;;;50;;;;;;;;;;;;
Feb;8;18.;P;B;Nebenkosten;;;;;;;;;;;;;;;;;;;;;260;;;;;
Feb;9;21.;L;T;Freizeit;;;41;;;;;;;;;;;;;;;;;;;;;;;;
Feb;10;24.;P;S;Krankenkasse;;;;;;;;;;;;;;;;;;;390;;;;;;;
Feb;11;28.;P;B;Kontrolle Lohnformel;;;;;;;;;;;;;;;;;;;;;;;;;;=AE2;
Mär;0;1.;;;Saldo;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mär;1;2.;P;B;Lohn;;;;;;;;;;;;;;;;;;;;;;;;4230;;;
Mär;2;3.;P;T;Lebensmittel Migros;;;96;;;;;;;;;;;;;;;;;;;;;;;;
Mär;3;5.;L;K;Mittagessen;;26;;;;;;;;;;;;;;;;;;;;;;;;;
Mär;4;8.;H;B;SBB;;;;;;;;;;;;12;;;;;;;;;;;;;;
Mär;5;10.;P;K;Coiffeur;;;;;;;;48;;;;;;;;;;;;;;;;;;;
Mär;6;14.;A;Y;Geburtstagsgeschenk;;;;;;;;;;;;;;37;;;;;;;;;;;;;
Mär;7;16.;E;R;Reserve / Spar;;;;;;;;;;;;;;;50;;;;;;;;;;;;
Mär;8;18.;P;B;Nebenkosten;;;;;;;;;;;;;;;;;;;;;260;;;;;
Mär;9;21.;L;T;Freizeit;;;42;;;;;;;;;;;;;;;;;;;;;;;;
Mär;10;24.;P;S;Krankenkasse;;;;;;;;;;;;;;;;;;;390;;;;;;;
Mär;11;28.;P;B;Kontrolle Lohnformel;;;;;;;;;;;;;;;;;;;;;;;;;;=AE2;
Apr;0;1.;;;Saldo;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apr;1;2.;P;B;Lohn;;;;;;;;;;;;;;;;;;;;;;;;4245;;;
Apr;2;3.;P;T;Lebensmittel Migros;;;98;;;;;;;;;;;;;;;;;;;;;;;;
Apr;3;5.;L;K;Mittagessen;;27;;;;;;;;;;;;;;;;;;;;;;;;;
Apr;4;8.;H;B;ÖV Abo / SBB;;;;;;;;;;;;79;;;;;;;;;;;;;;
Apr;5;10.;P;K;Coiffeur;;;;;;;;48;;;;;;;;;;;;;;;;;;;
Apr;6;14.;A;Y;Geburtstagsgeschenk;;;;;;;;;;;;;;38;;;;;;;;;;;;;
Apr;7;16.;E;R;Reserve / Spar;;;;;;;;;;;;;;;50;;;;;;;;;;;;
